city,state_id,state,county,lat,long,population,density,military,incorporated,capital,timezone,ranking,zips
Saint Paul,MN,Minnesota,Ramsey,44.9477,-93.104,308096,2288,FALSE,TRUE,TRUE,America/Chicago,2,23
Antioch,CA,California,Contra Costa,37.9789,-121.7958,302419,1466,FALSE,TRUE,FALSE,America/Los_Angeles,2,2
Lakeland,FL,Florida,Polk,28.0556,-81.9545,302284,654,FALSE,TRUE,FALSE,America/New_York,2,9
Trenton,NJ,New Jersey,Mercer,40.2236,-74.7641,290716,4238,FALSE,TRUE,TRUE,America/New_York,2,17
Lincoln,NE,Nebraska,Lancaster,40.809,-96.6788,289490,1160,FALSE,TRUE,TRUE,America/Chicago,2,22
Anchorage,AK,Alaska,Anchorage,61.1508,-149.1091,288000,65,FALSE,TRUE,FALSE,America/Anchorage,2,28
Plano,TX,Texas,Collin,33.0502,-96.7487,287677,1549,FALSE,TRUE,FALSE,America/Chicago,2,8
Irvine,CA,California,Orange,33.6772,-117.7738,287401,1691,FALSE,TRUE,FALSE,America/Los_Angeles,2,14
Davenport,IA,Iowa,Scott,41.5563,-90.6052,285362,617,FALSE,TRUE,FALSE,America/Chicago,2,9
Rockford,IL,Illinois,Winnebago,42.2597,-89.0641,282762,873,FALSE,TRUE,FALSE,America/Chicago,2,13
Newark,NJ,New Jersey,Essex,40.7245,-74.1725,282011,4509,FALSE,TRUE,FALSE,America/New_York,2,18
South Bend,IN,Indiana,St. Joseph,41.6767,-86.2696,280498,938,FALSE,TRUE,FALSE,America/Indiana/Indianapolis,2,15
Shreveport,LA,Louisiana,Caddo,32.4656,-93.7956,280062,672,FALSE,TRUE,FALSE,America/Chicago,2,33
Round Lake Beach,IL,Illinois,Lake,42.379,-88.0811,279381,2073,FALSE,TRUE,FALSE,America/Chicago,2,1
Savannah,GA,Georgia,Chatham,32.0281,-81.1784,276295,536,FALSE,TRUE,FALSE,America/New_York,2,16
Myrtle Beach,SC,South Carolina,Horry,33.7096,-78.8843,275579,568,FALSE,TRUE,FALSE,America/New_York,2,3
Chula Vista,CA,California,San Diego,32.6281,-117.0145,274492,2134,FALSE,TRUE,FALSE,America/Los_Angeles,2,10
Eugene,OR,Oregon,Lane,44.0563,-123.1173,273439,1510,FALSE,TRUE,FALSE,America/Los_Angeles,2,6
Canton,OH,Ohio,Stark,40.8075,-81.3677,269418,1040,FALSE,TRUE,FALSE,America/New_York,2,13
Lubbock,TX,Texas,Lubbock,33.5659,-101.8878,267648,741,FALSE,TRUE,FALSE,America/Chicago,2,26
Reading,PA,Pennsylvania,Berks,40.34,-75.9267,267155,3466,FALSE,TRUE,FALSE,America/New_York,2,6
Winter Haven,FL,Florida,Polk,28.0118,-81.7017,267069,538,FALSE,TRUE,FALSE,America/New_York,2,6
Salem,OR,Oregon,Marion,44.9231,-123.0246,266804,1382,FALSE,TRUE,TRUE,America/Los_Angeles,2,10
St. Petersburg,FL,Florida,Pinellas,27.7931,-82.6652,265351,1656,FALSE,TRUE,FALSE,America/New_York,2,22
Lafayette,LA,Louisiana,Lafayette,30.2084,-92.0323,264357,877,FALSE,TRUE,FALSE,America/Chicago,2,12
Laredo,TX,Texas,Webb,27.5629,-99.4875,262491,958,FALSE,TRUE,FALSE,America/Chicago,2,6
Jersey City,NJ,New Jersey,Hudson,40.7161,-74.0682,262075,6863,FALSE,TRUE,FALSE,America/New_York,2,12
Chandler,AZ,Arizona,Maricopa,33.2826,-111.8516,261165,1548,FALSE,TRUE,FALSE,America/Phoenix,2,7
McKinney,TX,Texas,Collin,33.2015,-96.6669,258277,1148,FALSE,TRUE,FALSE,America/Chicago,2,4
Scottsdale,AZ,Arizona,Maricopa,33.6872,-111.8651,258069,541,FALSE,TRUE,FALSE,America/Phoenix,2,14
Killeen,TX,Texas,Bell,31.0754,-97.7296,258009,1073,FALSE,TRUE,FALSE,America/Chicago,2,6
Tallahassee,FL,Florida,Leon,30.4551,-84.2526,257601,747,FALSE,TRUE,TRUE,America/New_York,2,16
Peoria,IL,Illinois,Peoria,40.752,-89.6153,256286,888,FALSE,TRUE,FALSE,America/Chicago,2,24
Wilmington,NC,North Carolina,New Hanover,34.21,-77.8866,255616,929,FALSE,TRUE,FALSE,America/New_York,2,8
Montgomery,AL,Alabama,Montgomery,32.3473,-86.2666,254634,479,FALSE,TRUE,TRUE,America/Chicago,2,31
Gilbert,AZ,Arizona,Maricopa,33.3101,-111.7463,254114,1432,FALSE,TRUE,FALSE,America/Phoenix,2,9
Glendale,AZ,Arizona,Maricopa,33.5791,-112.2311,252381,1582,FALSE,TRUE,FALSE,America/Phoenix,2,14
North Las Vegas,NV,Nevada,Clark,36.288,-115.0901,251974,992,FALSE,TRUE,FALSE,America/Los_Angeles,2,10
Chesapeake,VA,Virginia,Chesapeake,36.6778,-76.3024,244835,279,FALSE,TRUE,FALSE,America/New_York,2,9
Barnstable,MA,Massachusetts,Barnstable,41.6722,-70.3599,242847,286,FALSE,TRUE,FALSE,America/New_York,2,12
Norfolk,VA,Virginia,Norfolk,36.8945,-76.259,242742,1759,FALSE,TRUE,FALSE,America/New_York,2,21
Fremont,CA,California,Alameda,37.5265,-121.9852,241110,1201,FALSE,TRUE,FALSE,America/Los_Angeles,2,5
Kennewick,WA,Washington,Benton,46.1978,-119.1732,240735,1186,FALSE,TRUE,FALSE,America/Los_Angeles,2,3
Garland,TX,Texas,Dallas,32.91,-96.6305,239928,1623,FALSE,TRUE,FALSE,America/Chicago,2,8
Irving,TX,Texas,Dallas,32.8584,-96.9702,239798,1380,FALSE,TRUE,FALSE,America/Chicago,2,14
Visalia,CA,California,Tulare,36.3276,-119.3269,237386,1370,FALSE,TRUE,FALSE,America/Los_Angeles,2,6
Atlantic City,NJ,New Jersey,Atlantic,39.3797,-74.4527,237054,1354,FALSE,TRUE,FALSE,America/New_York,2,3
Paradise,NV,Nevada,Clark,36.0807,-115.1369,235087,1942,FALSE,FALSE,FALSE,America/Los_Angeles,2,18
Nashua,NH,New Hampshire,Hillsborough,42.7491,-71.491,233917,1118,FALSE,TRUE,FALSE,America/New_York,2,5
Hialeah,FL,Florida,Miami-Dade,25.8696,-80.3046,233339,4174,FALSE,TRUE,FALSE,America/New_York,2,6
York,PA,Pennsylvania,York,39.9651,-76.7315,233184,3204,FALSE,TRUE,FALSE,America/New_York,2,4
Evansville,IN,Indiana,Vanderburgh,37.9881,-87.5341,230427,962,FALSE,TRUE,FALSE,America/Chicago,2,28
Avondale,AZ,Arizona,Maricopa,33.3858,-112.3236,227289,750,FALSE,TRUE,FALSE,America/Phoenix,2,3
Brownsville,TX,Texas,Cameron,25.998,-97.4565,227239,533,FALSE,TRUE,FALSE,America/Matamoros,2,5
Gulfport,MS,Mississippi,Harrison,30.4271,-89.0703,220987,497,FALSE,TRUE,FALSE,America/Chicago,2,6
Appleton,WI,Wisconsin,Outagamie,44.2779,-88.3891,220570,1156,FALSE,TRUE,FALSE,America/Chicago,2,6
Bremerton,WA,Washington,Kitsap,47.5436,-122.7122,218400,561,FALSE,TRUE,FALSE,America/Los_Angeles,2,5
Hickory,NC,North Carolina,Catawba,35.7425,-81.323,218323,536,FALSE,TRUE,FALSE,America/New_York,2,3
Tacoma,WA,Washington,Pierce,47.2431,-122.4531,217827,1690,FALSE,TRUE,FALSE,America/Los_Angeles,2,24
San Bernardino,CA,California,San Bernardino,34.1417,-117.2946,215784,1341,FALSE,TRUE,FALSE,America/Los_Angeles,2,16
College Station,TX,Texas,Brazos,30.5852,-96.296,215243,890,FALSE,TRUE,FALSE,America/Chicago,2,7
Kalamazoo,MI,Michigan,Kalamazoo,42.2749,-85.5882,215193,1192,FALSE,TRUE,FALSE,America/Detroit,2,7
Thousand Oaks,CA,California,Ventura,34.1914,-118.8755,215029,885,FALSE,TRUE,FALSE,America/Los_Angeles,2,7
Roanoke,VA,Virginia,Roanoke,37.2785,-79.958,214674,900,FALSE,TRUE,FALSE,America/New_York,2,37
Fontana,CA,California,San Bernardino,34.0968,-117.4599,214547,1923,FALSE,TRUE,FALSE,America/Los_Angeles,2,5
Moreno Valley,CA,California,Riverside,33.9244,-117.2045,213055,1604,FALSE,TRUE,FALSE,America/Los_Angeles,2,7
North Port,FL,Florida,Sarasota,27.0577,-82.1975,209070,274,FALSE,TRUE,FALSE,America/New_York,2,9
Fargo,ND,North Dakota,Cass,46.8652,-96.8292,208675,967,FALSE,TRUE,FALSE,America/Chicago,2,13
Green Bay,WI,Wisconsin,Brown,44.515,-87.9896,207557,887,FALSE,TRUE,FALSE,America/Chicago,2,8
Spring Valley,NV,Nevada,Clark,36.0987,-115.2619,207127,2404,FALSE,FALSE,FALSE,America/Los_Angeles,2,9
Amarillo,TX,Texas,Potter,35.1988,-101.8311,205603,756,FALSE,TRUE,FALSE,America/Chicago,2,21
Santa Barbara,CA,California,Santa Barbara,34.4285,-119.7202,202401,1808,FALSE,TRUE,FALSE,America/Los_Angeles,2,11
Gainesville,FL,Florida,Alachua,29.6804,-82.3458,202335,820,FALSE,TRUE,FALSE,America/New_York,2,14
Olympia,WA,Washington,Thurston,47.0417,-122.8959,200915,1119,FALSE,TRUE,TRUE,America/Los_Angeles,2,7
Frisco,TX,Texas,Collin,33.1555,-96.8215,200490,1136,FALSE,TRUE,FALSE,America/Chicago,2,4
Yonkers,NY,New York,Westchester,40.9466,-73.8674,200370,4295,FALSE,TRUE,FALSE,America/New_York,2,8
Norwich,CT,Connecticut,New London,41.5495,-72.0882,200289,533,FALSE,TRUE,FALSE,America/New_York,2,3
Huntington Beach,CA,California,Orange,33.696,-118.0025,199223,2848,FALSE,TRUE,FALSE,America/Los_Angeles,2,7
Deltona,FL,Florida,Volusia,28.905,-81.2137,198361,960,FALSE,TRUE,FALSE,America/New_York,2,3
Tempe,AZ,Arizona,Maricopa,33.3881,-111.9318,195805,1891,FALSE,TRUE,FALSE,America/Phoenix,2,7
